# Preset bank C: RITE drums
# 001-024 low · 025-048 snap · 049-072 hat · 073-096 metal · 097-160 hand · 161-192 wood · 193-224 slice · 225-256 loop
# slot | NAME (12 max) | recipe        | tags                   | sample on the +Drive | parameters
001 | LOW FLOOR    | kick-felt     | Tom, Acoustic          | RITE/KICK/vdrm_kick_tom-clean-flr-01
002 | LOW FLR HARD | kick-felt     | Tom, Hard              | RITE/KICK/vdrm_kick_tom-flr-hard-02
003 | LOW HALL TOM | kick-felt     | Tom, Acoustic          | RITE/KICK/pres_kick_tom-hall-mid-01
004 | LOW EKKO     | kick-felt     | Kick, Vintage          | RITE/KICK/ekko_kick_bass-drum-color-v1
005 | LOW ROLLING  | kick-felt     | Tom, Vintage           | RITE/KICK/ekko_kick_rolling-drum-color-v1
006 | LOW TOM SUB  | kick-felt     | Tom, Dark              | RITE/KICK/vdrm_kick_tom-sub-02
007 | BOMBO        | low-bombo     | Kick, Acoustic         | RITE/KICK/skin_kick_zambumba-long
008 | SURDO        | low-skin      | Tom, Acoustic          | RITE/KICK/skin_kick_surdo
009 | DAVUL        | low-skin      | Kick, Acoustic         | RITE/KICK/skin_kick_davul
010 | RAW TOM      | low-skin      | Tom, Acoustic          | RITE/KICK/skin_kick_raw-tom-soft
011 | BASS DRUM V1 | low-skin      | Tom, Acoustic          | RITE/KICK/ekko_kick_bass-drum-color-v1
012 | CHANA TOM    | low-skin      | Tom, Acoustic          | RITE/KICK/skin_kick_chana-tom
013 | RAW TOM CHK  | low-skin      | Tom, Acoustic          | RITE/KICK/skin_kick_raw-tom-choke
014 | ROLLING DR   | low-skin      | Tom, Acoustic          | RITE/KICK/ekko_kick_rolling-drum-color-v1
015 | SURDO CHOKE  | low-skin      | Tom, Acoustic          | RITE/KICK/skin_kick_surdo-choke
016 | TOM AC CRUSH | low-skin      | Tom, Acoustic          | RITE/KICK/pres_kick_tom-acoustic-crush-hi
017 | ZAMBUMBA     | low-skin      | Tom, Acoustic          | RITE/KICK/skin_kick_zambumba
018 | BASS DR      | low-skin      | Tom, Acoustic          | RITE/KICK/ekko_kick_bass-drum-knock-v3
019 | CHANA TOM 2  | low-skin      | Tom, Acoustic          | RITE/KICK/skin_kick_chana-tom-ghost2
020 | RAW TOM ROLL | low-skin      | Tom, Acoustic          | RITE/KICK/skin_kick_raw-tom-roll
021 | ROLLING DR 2 | low-skin      | Tom, Acoustic          | RITE/KICK/ekko_kick_rolling-drum-smash-v1
022 | SURDO SIDE   | low-skin      | Tom, Acoustic          | RITE/KICK/skin_kick_surdo-side
025 | DJEMBE SLAP  | snap-slap     | Percussion, Acoustic   | RITE/HAND/pres_hand_djembe-hi-flam
026 | DJEMBE HAND  | snap-slap     | Percussion, Acoustic   | RITE/HAND/pres_hand_djembe-01
027 | CONGA SLAP   | snap-slap     | Percussion, Acoustic   | RITE/HAND/pres_hand_conga-slap-01
028 | CLAP SKIN    | snap-clap     | Clap, Acoustic         | RITE/SNR/skin_snr_clap1
029 | TOCA SNARE   | snap-slap     | Snare, Acoustic        | RITE/SNR/skin_snr_toca-tom-snare
030 | AGU TIMP     | snap-clap     | Clap, Acoustic         | RITE/SNR/skin_snr_agu-timp-boxlong
031 | CLAP 1B      | snap-clap     | Clap, Acoustic         | RITE/SNR/skin_snr_clap1-2
032 | SNARE TAMA   | snap-clap     | Clap, Acoustic         | RITE/SNR/skin_snr_snare-tama
033 | TIMP BOX     | snap-clap     | Clap, Acoustic         | RITE/SNR/skin_snr_timpbox
034 | TOCA TOM     | snap-clap     | Clap, Acoustic         | RITE/SNR/skin_snr_toca-tom-snare
035 | CLAP 2       | snap-clap     | Clap, Acoustic         | RITE/SNR/skin_snr_clap2
036 | SNARE TAMA 2 | snap-clap     | Clap, Acoustic         | RITE/SNR/skin_snr_snare-tama-snare
037 | TOCA TOM 2   | snap-clap     | Clap, Acoustic         | RITE/SNR/skin_snr_toca-tom-snare-ghost
038 | CLAP 3       | snap-clap     | Clap, Acoustic         | RITE/SNR/skin_snr_clap3
039 | TOCA TOM 3   | snap-clap     | Clap, Acoustic         | RITE/SNR/skin_snr_toca-tom-snare-soft
040 | CLAP 4       | snap-clap     | Clap, Acoustic         | RITE/SNR/skin_snr_clap4
041 | CLAP 6       | snap-clap     | Clap, Acoustic         | RITE/SNR/skin_snr_clap6
049 | SHAKER SOFT  | shake-soft    | Percussion, Soft       | RITE/SHKR/pres_shkr_shaker-soft
050 | SHAKER VINYL | shake-soft    | Percussion, Vintage    | RITE/SHKR/vdrm_shkr_shaker-clean-attack
051 | SHAKER TAPE  | shake-soft    | Percussion, Vintage    | RITE/SHKR/vdrm_shkr_shaker-vari-tape-09
052 | CABASA       | shake-soft    | Percussion             | RITE/SHKR/lm1_shkr_cabasa-color-a-01
053 | TAMB LITE    | shake-soft    | Percussion, Soft       | RITE/SHKR/pres_shkr_tamb-lite
054 | GUIRO        | shake-soft    | Percussion, Acoustic   | RITE/SHKR/vdrm_shkr_guiro-clean-01
055 | SHAKER 16    | shake-16th    | Percussion, Acoustic   | RITE/SHKR/skin_shkr_shaker
056 | CAXIXI       | shake-soft    | Percussion, Acoustic   | RITE/SHKR/skin_shkr_caxixi-rattle
057 | SHEKERE      | shake-soft    | Percussion, Acoustic   | RITE/SHKR/skin_shkr_shekere
058 | ANKLUNGS HI  | shake-soft    | Percussion, Acoustic   | RITE/SHKR/skin_shkr_anklungs-hi
059 | BELL SHEKR   | shake-soft    | Percussion, Acoustic   | RITE/SHKR/skin_shkr_bell-shekere-hard
060 | LM1 CABS 25  | shake-soft    | Percussion, Acoustic   | RITE/SHKR/lm1_shkr_cabasa-color-a-25
061 | GUIRO 2      | shake-soft    | Percussion, Acoustic   | RITE/SHKR/skin_shkr_guiro
062 | LARGE CAXIXI | shake-soft    | Percussion, Acoustic   | RITE/SHKR/skin_shkr_large-caxixi
063 | PADEL SHK    | shake-soft    | Percussion, Acoustic   | RITE/SHKR/skin_shkr_padel-shaker-soft
064 | POCKET SHK   | shake-soft    | Percussion, Acoustic   | RITE/SHKR/skin_shkr_pocket-shaker-soft
065 | RATTLE       | shake-soft    | Percussion, Acoustic   | RITE/SHKR/skin_shkr_rattle
066 | SHAKER       | shake-soft    | Percussion, Acoustic   | RITE/SHKR/skin_shkr_shaker
067 | SHAQAHAQ     | shake-soft    | Percussion, Acoustic   | RITE/SHKR/skin_shkr_shaqahaq
068 | SHEKR SOFT 2 | shake-soft    | Percussion, Acoustic   | RITE/SHKR/skin_shkr_shekere-soft2
069 | SGL SHAKER   | shake-soft    | Percussion, Acoustic   | RITE/SHKR/skin_shkr_single-shaker
070 | SPRING GUIRO | shake-soft    | Percussion, Acoustic   | RITE/SHKR/skin_shkr_spring-guiro-roll
073 | AGOGO HI     | metal-bell    | Cowbell, Metallic      | RITE/BELL/visc_bell_agogo-hi-01
074 | AGOGO LO     | metal-bell    | Cowbell, Metallic      | RITE/BELL/visc_bell_agogo-lo-05
075 | BELL KNOCK   | metal-bell    | Metallic, Acoustic     | RITE/BELL/pres_bell_knock
076 | BELL LO      | metal-bell    | Metallic               | RITE/BELL/pres_bell_lo
077 | TRIANGLE     | metal-bell    | Metallic, Bright       | RITE/BELL/vdrm_bell_triangle-clean-01
078 | COWBELL      | metal-bell    | Cowbell, Vintage       | RITE/BELL/vdrm_bell_cowbell-clean-01
079 | POT BELL     | metal-bell    | Metallic, Acoustic     | RITE/BELL/fnd_bell_potinnerside-clean
080 | WATERPHONE   | metal-ring    | Metallic, Atmosphere   | CORE/BELL/skin_bell_waterphone
081 | OGENE        | metal-bell    | Cowbell, Acoustic      | CORE/BELL/skin_bell_ogene
082 | AGOGO HI 05  | metal-bell    | Metallic, Acoustic     | RITE/BELL/visc_bell_agogo-hi-05
083 | COINS DROP   | metal-bell    | Metallic, Acoustic     | RITE/BELL/fnd_bell_coinsdropcarpet-clean
084 | VNL CBEL     | metal-bell    | Metallic, Acoustic     | RITE/BELL/vdrm_bell_cowbell-fx-verb-05
085 | BELL DRAG    | metal-bell    | Metallic, Acoustic     | RITE/BELL/pres_bell_drag
086 | KNOCK ECHO   | metal-bell    | Metallic, Acoustic     | RITE/BELL/pres_bell_knock-echo
087 | METAL CLICK  | metal-bell    | Metallic, Acoustic     | RITE/BELL/fnd_bell_metalclick-clean
088 | BELL SNAP    | metal-bell    | Metallic, Acoustic     | RITE/BELL/pres_bell_snap
089 | TOM OPEN POT | metal-bell    | Metallic, Acoustic     | RITE/BELL/fnd_bell_tom2openpotwood-clean
090 | TRIANGLE V1  | metal-bell    | Metallic, Acoustic     | RITE/BELL/ekko_bell_triangle-color-v1
091 | VNL CBEL 2   | metal-bell    | Metallic, Acoustic     | RITE/BELL/vdrm_bell_cowbell-vari-tape-07
092 | METAL POT    | metal-bell    | Metallic, Acoustic     | RITE/BELL/fnd_bell_metalpotbellcrash-clean
093 | TRI SMASH V6 | metal-bell    | Metallic, Acoustic     | RITE/BELL/ekko_bell_triangle-smash-v6
094 | VNL TRI VERB | metal-bell    | Metallic, Acoustic     | RITE/BELL/vdrm_bell_triangle-fx-verb-01
097 | DJEMBE SLIDE | hand-room     | Percussion, Acoustic   | RITE/HAND/pres_hand_djembe-slide
098 | UDU TONE     | hand-room     | Percussion, Acoustic   | RITE/HAND/pres_hand_udu-tone-01
099 | UDU COLOR    | hand-room     | Percussion, Vintage    | RITE/HAND/pres_hand_udu-color-02
100 | UDU FUZZ     | hand-room     | Percussion, Noisy      | RITE/HAND/pres_hand_udu-fuzz-01
101 | CONGA HI     | hand-dry      | Percussion, Acoustic   | RITE/HAND/pres_hand_conga-hi-01
102 | CONGA LO     | hand-dry      | Percussion, Acoustic   | RITE/HAND/pres_hand_conga-lo-01
103 | CONGA BEND   | hand-room     | Percussion             | RITE/HAND/pres_hand_conga-bend
104 | BONGO        | hand-dry      | Percussion, Vintage    | RITE/HAND/visc_hand_bongo-04
105 | BONGO MUTED  | hand-dry      | Percussion, Soft       | RITE/HAND/visc_hand_bongo-muted-01
106 | CONGA SP1200 | hand-dry      | Percussion, Vintage    | RITE/HAND/sp12_hand_conga-1-01
107 | FIRE DRUM    | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_fire-drum
108 | SKIN CONGA   | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_conga
109 | BONGOS       | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_bongos
110 | SABAR        | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_sabar
111 | SABAR LO     | hand-room     | Percussion, Acoustic   | RITE/HAND/skin_hand_sabar-lo
112 | TAMA         | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_tama
113 | TAMA DEEP    | hand-deep     | Percussion, Dark       | RITE/HAND/skin_hand_tama
114 | TAMA ROOM    | hand-room     | Percussion, Atmosphere | RITE/HAND/skin_hand_tama
115 | PEG DRUM     | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_peg-drum
116 | DJEMBE SKIN  | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_djembe
117 | BONGO 2      | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_bongo
