# Preset bank H: DRIFT tones
# 001-032 bass · 033-080 stab · 081-112 keys · 113-160 lead · 161-192 pad · 193-224 scape · 225-240 noise · 241-256 fx
# slot | NAME (12 max) | recipe        | tags                   | sample on the +Drive | parameters
001 | BASS DRONE C | bass-drone    | Bass, Soft             | DRIFT/BASS/dsph_bass_bassdrone-c18
002 | BASS DRONE E | bass-drone    | Bass, Dark             | DRIFT/BASS/dsph_bass_bassdrone-e06
003 | AIR BASS     | bass-sub      | Bass, Soft             | DRIFT/BASS/kawa_bass_air-c1
004 | AIR          | bass-drone    | Bass, Soft             | DRIFT/BASS/kawa_bass_air-c1
005 | DRONE E11    | bass-drone    | Bass, Soft             | DRIFT/BASS/dsph_bass_bassdrone-e11
006 | DRONE E17    | bass-drone    | Bass, Soft             | DRIFT/BASS/dsph_bass_bassdrone-e17
033 | CELESTE CHRD | stab-bell     | Chord, Bright          | DRIFT/KEYS/dx1_keys_pristineceleste-c3
034 | FM BELL CHRD | stab-bell     | Chord, Metallic        | DRIFT/BELL/dx1_bell_tbells-c3
035 | GLASS DROPS  | stab-bell     | Chord, Bright          | DRIFT/KEYS/kawa_keys_drops-c3
036 | HOLOGRAM     | stab-bell     | Chord, Atmosphere      | DRIFT/KEYS/kawa_keys_hologram-c3
037 | AIR 2        | stab-bell     | Metallic, Bright       | DRIFT/BELL/kawa_bell_air-c3
038 | DX FM        | stab-bell     | Metallic, Bright       | DRIFT/BELL/dx1_bell_fmbellfx-ds6
039 | MLLT MULTI   | stab-bell     | Metallic, Bright       | DRIFT/BELL/360_bell_mallet-multi-filter-c3
040 | DX FM 2      | stab-bell     | Metallic, Bright       | DRIFT/BELL/dx1_bell_fmbellfx-e3
041 | DX FM 3      | stab-bell     | Metallic, Bright       | DRIFT/BELL/dx1_bell_fmbellfx-e6
042 | CELESTE 2    | stab-bell     | Chord, Bright          | DRIFT/KEYS/mirg_keys_celeste-c3
043 | DX DREAM     | stab-bell     | Chord, Bright          | DRIFT/KEYS/dx1_keys_dreamlike-c3
044 | DX GVIBES    | stab-bell     | Chord, Bright          | DRIFT/KEYS/dx1_keys_gvibes-c3
045 | DX STAR PNO  | stab-bell     | Chord, Bright          | DRIFT/KEYS/dx1_keys_starpiano-c3
046 | VIBES 2      | stab-bell     | Chord, Bright          | DRIFT/KEYS/360_keys_vibes-c3
047 | SH5 VIBES    | stab-bell     | Chord, Bright          | DRIFT/KEYS/sh5_keys_vibraphone-c3
048 | DX WARBLE    | stab-bell     | Chord, Bright          | DRIFT/KEYS/dx1_keys_warbleceleste-c3
081 | CELESTE      | keys-glass    | Bright, Soft           | DRIFT/KEYS/mirg_keys_celeste-c3
082 | WARBLE CLST  | keys-glass    | Vintage, Soft          | DRIFT/KEYS/dx1_keys_warbleceleste-c3
083 | STAR PIANO   | keys-glass    | Bright                 | DRIFT/KEYS/dx1_keys_starpiano-c3
084 | VIBES        | keys-glass    | Metallic, Soft         | DRIFT/KEYS/360_keys_vibes-c3
085 | VIBES SH5    | keys-glass    | Synth, Soft            | DRIFT/KEYS/sh5_keys_vibraphone-c3
086 | DREAMLIKE    | keys-glass    | Atmosphere             | DRIFT/KEYS/dx1_keys_dreamlike-c3
087 | DROPS        | keys-glass    | Bright, Soft           | DRIFT/KEYS/kawa_keys_drops-c3
088 | DX GVIBES 2  | keys-glass    | Bright, Soft           | DRIFT/KEYS/dx1_keys_gvibes-c3
089 | HOLOGRAM 2   | keys-glass    | Bright, Soft           | DRIFT/KEYS/kawa_keys_hologram-c3
090 | DX PRISTINE  | keys-glass    | Bright, Soft           | DRIFT/KEYS/dx1_keys_pristineceleste-c3
091 | CELESTE RHD  | keys-rhodes   | Vintage, Soft          | DRIFT/KEYS/mirg_keys_celeste-c3
092 | DX DREAM RHD | keys-rhodes   | Vintage, Soft          | DRIFT/KEYS/dx1_keys_dreamlike-c3
093 | DROPS RHD    | keys-rhodes   | Vintage, Soft          | DRIFT/KEYS/kawa_keys_drops-c3
094 | DX RHD       | keys-rhodes   | Vintage, Soft          | DRIFT/KEYS/dx1_keys_gvibes-c3
113 | CLARINET     | flute-breath  | Lead, Acoustic         | DRIFT/HORN/mirg_horn_clarinet-c3
114 | FLUTE FILTER | flute-breath  | Lead, Soft             | DRIFT/HORN/360_horn_flute-filter-c3
115 | STRINGS WARM | strings-swell | Pad, Soft              | DRIFT/HORN/kawa_horn_warm-strings-c3
116 | STR ANALOG   | strings-swell | Pad, Vintage           | DRIFT/HORN/kawa_horn_analog-strings-c3
117 | STR CHORUS   | strings-swell | Pad, Atmosphere        | DRIFT/HORN/360_horn_strings-chorus-c3
118 | VOICES       | strings-swell | Lead, Atmosphere       | DRIFT/VOX/kawa_vox_voices-c3
119 | HELLO VOICE  | flute-breath  | Lead, Soft             | DRIFT/VOX/kawa_vox_hello-c3
120 | BREATH V     | flute-breath  | Lead, Soft             | DRIFT/VOX/dx1_vox_breathv-c3
121 | GTR WARP     | gtr-verb      | Lead, Atmosphere       | DRIFT/GTR/mirg_gtr_warp-guitar-c3
122 | GTR CHORUS   | gtr-verb      | Lead, Soft             | DRIFT/GTR/mirg_gtr_acoustic-guitar-chor-c3
123 | GTR TREMOLO  | gtr-verb      | Lead, Atmosphere       | DRIFT/GTR/drs_gtr_acoustic-tremolo-13-c3
124 | GTR NYLON    | gtr-verb      | Lead, Soft             | DRIFT/GTR/360_gtr_nylon-guitar-vibrato-c3
125 | STEEL SWELL  | steel-swell   | Lead, Atmosphere       | DRIFT/GTR/mirg_gtr_warp-guitar-c3
126 | ANALOG STR   | flute-breath  | Lead, Soft             | DRIFT/HORN/kawa_horn_analog-strings-c3
127 | STR CHORUS 2 | flute-breath  | Lead, Soft             | DRIFT/HORN/360_horn_strings-chorus-c3
128 | WARM STRINGS | flute-breath  | Lead, Soft             | DRIFT/HORN/kawa_horn_warm-strings-c3
129 | STEEL AC     | steel-swell   | Lead, Atmosphere       | DRIFT/GTR/drs_gtr_acoustic-tremolo-13-c3
130 | STEEL NYLON  | steel-swell   | Lead, Atmosphere       | DRIFT/GTR/360_gtr_nylon-guitar-vibrato-c3
